dia,jornal,quantidade
1,G1,5991
1,FOLHASP,3532
1,ESTADAO,5286
2,G1,5606
2,FOLHASP,3495
2,ESTADAO,5269
3,G1,5953
3,FOLHASP,3690
3,ESTADAO,5495
4,G1,6138
4,FOLHASP,3663
4,ESTADAO,5486
5,G1,6093
5,FOLHASP,3779
5,ESTADAO,5639
6,G1,6317
6,FOLHASP,3719
6,ESTADAO,5375
7,G1,6004
7,FOLHASP,3621
7,ESTADAO,5279
8,G1,5968
8,FOLHASP,3741
8,ESTADAO,5717
9,G1,6008
9,FOLHASP,3621
9,ESTADAO,5696
10,G1,6358
10,FOLHASP,3929
10,ESTADAO,5757
11,G1,6208
11,FOLHASP,3702
11,ESTADAO,5582
12,G1,5666
12,FOLHASP,3643
12,ESTADAO,5645
13,G1,6216
13,FOLHASP,3763
13,ESTADAO,5756
14,G1,6557
14,FOLHASP,3907
14,ESTADAO,5920
15,G1,5948
15,FOLHASP,3658
15,ESTADAO,5671
16,G1,6226
16,FOLHASP,3759
16,ESTADAO,5520
17,G1,6237
17,FOLHASP,3842
17,ESTADAO,5641
18,G1,6382
18,FOLHASP,3784
18,ESTADAO,5663
19,G1,6161
19,FOLHASP,3699
19,ESTADAO,5657
20,G1,5965
20,FOLHASP,3640
20,ESTADAO,5819
21,G1,5981
21,FOLHASP,3577
21,ESTADAO,5348
22,G1,5808
22,FOLHASP,3737
22,ESTADAO,5637
23,G1,5848
23,FOLHASP,3684
23,ESTADAO,5601
24,G1,5770
24,FOLHASP,3637
24,ESTADAO,5509
25,G1,5984
25,FOLHASP,3675
25,ESTADAO,5320
26,G1,6152
26,FOLHASP,3849
26,ESTADAO,5676
27,G1,6520
27,FOLHASP,3795
27,ESTADAO,6102
28,G1,6478
28,FOLHASP,3945
28,ESTADAO,5931
29,G1,5793
29,FOLHASP,3823
29,ESTADAO,5618
30,G1,5571
30,FOLHASP,3541
30,ESTADAO,5513
31,G1,3826
31,FOLHASP,2221
31,ESTADAO,3268
